REGWLD,GDPS,SCEN,Value,,,,,
R_S_Asia,GDPpct,GlOBPES,0.020400379,,,,,
R_SE_Asia,GDPpct,GlOBPES,1.44E-03,,,,,
Russia,GDPpct,GlOBPES,0.015155511,,,,,
S_o_Amer,GDPpct,GlOBPES,0.031058537,,,,,
S_S_AFR,GDPpct,GlOBPES,-0.070013613,,,,,
TUR,GDPpct,GlOBPES,0.012337774,,,,,
USA,GDPpct,GlOBPES,7.99E-03,,,,,
VNM,GDPpct,GlOBPES,4.59E-03,,,,,
XAC,GDPpct,GlOBPES,-0.014761443,,,,,
ZAF,GDPpct,GlOBPES,-0.015087526,,,,,
World,GDPpct,GlOBPES,0.012389902,,,,,
ARG,RealGDPvalch,GlOBPES,204.0232544,,,,,
BGD,RealGDPvalch,GlOBPES,-186.9381561,,,,,
BRAZIL,RealGDPvalch,GlOBPES,364.195282,,,,,
C_C_Amer,RealGDPvalch,GlOBPES,192.4068298,,,,,
CAN,RealGDPvalch,GlOBPES,-197.8558655,,,,,
CHIHKG,RealGDPvalch,GlOBPES,5458.887695,,,,,
COL,RealGDPvalch,GlOBPES,70.03440094,,,,,
E_Asia,RealGDPvalch,GlOBPES,-22.32863808,,,,,
EGY,RealGDPvalch,GlOBPES,1451.054443,,,,,
ETH,RealGDPvalch,GlOBPES,13.03497505,,,,,
EU27,RealGDPvalch,GlOBPES,170.8525543,,,,,
IDN,RealGDPvalch,GlOBPES,-2555.582031,,,,,
INDIA,RealGDPvalch,GlOBPES,1567.373779,,,,,
JAPAN,RealGDPvalch,GlOBPES,219.9103088,,,,,
KOR,RealGDPvalch,GlOBPES,116.5823364,,,,,
MAR,RealGDPvalch,GlOBPES,103.5319977,,,,,
MDG,RealGDPvalch,GlOBPES,13.18113232,,,,,
MEAS_NAfr,RealGDPvalch,GlOBPES,3159.929199,,,,,
MEX,RealGDPvalch,GlOBPES,20.05957031,,,,,
MYS,RealGDPvalch,GlOBPES,-420.7547607,,,,,
NGA,RealGDPvalch,GlOBPES,-244.2833862,,,,,
Oceania,RealGDPvalch,GlOBPES,141.3742523,,,,,
Oth_CEE_CIS,RealGDPvalch,GlOBPES,509.2605896,,,,,
Oth_Europe,RealGDPvalch,GlOBPES,61.57164764,,,,,
PAK,RealGDPvalch,GlOBPES,-46.05100632,,,,,
PHL,RealGDPvalch,GlOBPES,142.6295319,,,,,
POL,RealGDPvalch,GlOBPES,610.9812622,,,,,
R_S_Asia,RealGDPvalch,GlOBPES,37.966465,,,,,
R_SE_Asia,RealGDPvalch,GlOBPES,13.93341827,,,,,
Russia,RealGDPvalch,GlOBPES,555.4071655,,,,,
S_o_Amer,RealGDPvalch,GlOBPES,537.892334,,,,,
S_S_AFR,RealGDPvalch,GlOBPES,-804.0501709,,,,,
TUR,RealGDPvalch,GlOBPES,139.295166,,,,,
USA,RealGDPvalch,GlOBPES,1635.564331,,,,,
VNM,RealGDPvalch,GlOBPES,15.10665226,,,,,
XAC,RealGDPvalch,GlOBPES,-73.12231445,,,,,
ZAF,RealGDPvalch,GlOBPES,-71.94963074,,,,,
World,RealGDPvalch,GlOBPES,12903.125,,,,,
ARG,NomGDPvalch,GlOBPES,364.625,,,,,
BGD,NomGDPvalch,GlOBPES,70.78125,,,,,
BRAZIL,NomGDPvalch,GlOBPES,-1074,,,,,
C_C_Amer,NomGDPvalch,GlOBPES,-124.5625,,,,,
CAN,NomGDPvalch,GlOBPES,-2298.25,,,,,
CHIHKG,NomGDPvalch,GlOBPES,5434,,,,,
COL,NomGDPvalch,GlOBPES,372.25,,,,,
E_Asia,NomGDPvalch,GlOBPES,95.453125,,,,,
EGY,NomGDPvalch,GlOBPES,800.6875,,,,,
ETH,NomGDPvalch,GlOBPES,-216.3359375,,,,,
EU27,NomGDPvalch,GlOBPES,-6540,,,,,
IDN,NomGDPvalch,GlOBPES,7432.875,,,,,
INDIA,NomGDPvalch,GlOBPES,-25.5,,,,,
JAPAN,NomGDPvalch,GlOBPES,-1724,,,,,
KOR,NomGDPvalch,GlOBPES,-724,,,,,
MAR,NomGDPvalch,GlOBPES,-290.109375,,,,,
MDG,NomGDPvalch,GlOBPES,3.041015625,,,,,
MEAS_NAfr,NomGDPvalch,GlOBPES,1912,,,,,
MEX,NomGDPvalch,GlOBPES,325.5,,,,,
MYS,NomGDPvalch,GlOBPES,-65.8125,,,,,
NGA,NomGDPvalch,GlOBPES,1263.25,,,,,
Oceania,NomGDPvalch,GlOBPES,-1689,,,,,
Oth_CEE_CIS,NomGDPvalch,GlOBPES,-111,,,,,
Oth_Europe,NomGDPvalch,GlOBPES,419.125,,,,,
PAK,NomGDPvalch,GlOBPES,-159.046875,,,,,
PHL,NomGDPvalch,GlOBPES,-36.75,,,,,
POL,NomGDPvalch,GlOBPES,507.4375,,,,,
R_S_Asia,NomGDPvalch,GlOBPES,-78.015625,,,,,
R_SE_Asia,NomGDPvalch,GlOBPES,-78.875,,,,,
Russia,NomGDPvalch,GlOBPES,2497,,,,,
S_o_Amer,NomGDPvalch,GlOBPES,223.125,,,,,
S_S_AFR,NomGDPvalch,GlOBPES,2242.25,,,,,
TUR,NomGDPvalch,GlOBPES,-195.5,,,,,
USA,NomGDPvalch,GlOBPES,-13964,,,,,
VNM,NomGDPvalch,GlOBPES,35.875,,,,,
XAC,NomGDPvalch,GlOBPES,3114.375,,,,,
ZAF,NomGDPvalch,GlOBPES,9.59375,,,,,
World,NomGDPvalch,GlOBPES,-2271.513672,,,,,
ARG,GDPpct,NATPES,0.029144656,,,,,
BGD,GDPpct,NATPES,-0.057751503,,,,,
BRAZIL,GDPpct,NATPES,9.38E-03,,,,,
C_C_Amer,GDPpct,NATPES,0.024872653,,,,,
CAN,GDPpct,NATPES,-3.90E-03,,,,,
CHIHKG,GDPpct,NATPES,0.028956069,,,,,
COL,GDPpct,NATPES,0.012721234,,,,,
E_Asia,GDPpct,NATPES,8.04E-03,,,,,
EGY,GDPpct,NATPES,0.263212472,,,,,
ETH,GDPpct,NATPES,0.037401691,,,,,
EU27,GDPpct,NATPES,6.05E-03,,,,,
IDN,GDPpct,NATPES,0.038861331,,,,,
INDIA,GDPpct,NATPES,0.059101973,,,,,
JAPAN,GDPpct,NATPES,6.14E-03,,,,,
KOR,GDPpct,NATPES,9.35E-03,,,,,
MAR,GDPpct,NATPES,0.070193484,,,,,
MDG,GDPpct,NATPES,0.081679925,,,,,
MEAS_NAfr,GDPpct,NATPES,0.065311767,,,,,
MEX,GDPpct,NATPES,-2.53E-03,,,,,
MYS,GDPpct,NATPES,-0.05909038,,,,,
NGA,GDPpct,NATPES,-0.011388038,,,,,
Oceania,GDPpct,NATPES,8.70E-03,,,,,
Oth_CEE_CIS,GDPpct,NATPES,0.033821844,,,,,
Oth_Europe,GDPpct,NATPES,3.88E-03,,,,,
PAK,GDPpct,NATPES,-0.038850274,,,,,
PHL,GDPpct,NATPES,0.028437909,,,,,
POL,GDPpct,NATPES,0.081533805,,,,,
R_S_Asia,GDPpct,NATPES,0.016401064,,,,,
R_SE_Asia,GDPpct,NATPES,7.28E-03,,,,,
Russia,GDPpct,NATPES,0.015551342,,,,,
S_o_Amer,GDPpct,NATPES,0.032054048,,,,,
S_S_AFR,GDPpct,NATPES,-0.045952272,,,,,
TUR,GDPpct,NATPES,0.012887734,,,,,
USA,GDPpct,NATPES,9.99E-03,,,,,
VNM,GDPpct,NATPES,6.43E-03,,,,,
XAC,GDPpct,NATPES,0.032526724,,,,,
ZAF,GDPpct,NATPES,-3.21E-03,,,,,
World,GDPpct,NATPES,0.017669335,,,,,
ARG,RealGDPvalch,NATPES,194.9487152,,,,,
BGD,RealGDPvalch,NATPES,-173.4735413,,,,,
BRAZIL,RealGDPvalch,NATPES,297.0329285,,,,,
C_C_Amer,RealGDPvalch,NATPES,181.4794006,,,,,
CAN,RealGDPvalch,NATPES,-102.0924072,,,,,
CHIHKG,RealGDPvalch,NATPES,5485.150391,,,,,
COL,RealGDPvalch,NATPES,71.77684021,,,,,
E_Asia,RealGDPvalch,NATPES,13.29591942,,,,,
EGY,RealGDPvalch,NATPES,1430.210449,,,,,
ETH,RealGDPvalch,NATPES,36.72568512,,,,,
EU27,RealGDPvalch,NATPES,1181.57544,,,,,
IDN,RealGDPvalch,NATPES,450.6400452,,,,,
INDIA,RealGDPvalch,NATPES,1667.00708,,,,,
JAPAN,RealGDPvalch,NATPES,269.7343445,,,,,
KOR,RealGDPvalch,NATPES,161.605484,,,,,
MAR,RealGDPvalch,NATPES,103.5227661,,,,,
MDG,RealGDPvalch,NATPES,15.27230167,,,,,
MEAS_NAfr,RealGDPvalch,NATPES,3101.569824,,,,,
MEX,RealGDPvalch,NATPES,-41.3411026,,,,,
MYS,RealGDPvalch,NATPES,-288.7255554,,,,,
NGA,RealGDPvalch,NATPES,-177.9767761,,,,,
Oceania,RealGDPvalch,NATPES,259.6412048,,,,,
Oth_CEE_CIS,RealGDPvalch,NATPES,497.2846069,,,,,
Oth_Europe,RealGDPvalch,NATPES,60.54259872,,,,,
PAK,RealGDPvalch,NATPES,-100.2996063,,,,,
PHL,RealGDPvalch,NATPES,140.5834198,,,,,
POL,RealGDPvalch,NATPES,609.0750732,,,,,
R_S_Asia,RealGDPvalch,NATPES,30.52346993,,,,,
R_SE_Asia,RealGDPvalch,NATPES,70.60353088,,,,,
Russia,RealGDPvalch,NATPES,569.913269,,,,,
S_o_Amer,RealGDPvalch,NATPES,555.1332398,,,,,
S_S_AFR,RealGDPvalch,NATPES,-527.7249756,,,,,
TUR,RealGDPvalch,NATPES,145.5042877,,,,,
USA,RealGDPvalch,NATPES,2045.552612,,,,,
VNM,RealGDPvalch,NATPES,21.15861893,,,,,
XAC,RealGDPvalch,NATPES,161.1244202,,,,,
ZAF,RealGDPvalch,NATPES,-15.30861187,,,,,
World,RealGDPvalch,NATPES,18401.24609,,,,,
ARG,NomGDPvalch,NATPES,-89.6875,,,,,
BGD,NomGDPvalch,NATPES,86.4375,,,,,
BRAZIL,NomGDPvalch,NATPES,-2498,,,,,
C_C_Amer,NomGDPvalch,NATPES,-217.8125,,,,,
CAN,NomGDPvalch,NATPES,-273.5,,,,,
CHIHKG,NomGDPvalch,NATPES,4410,,,,,
COL,NomGDPvalch,NATPES,367.8125,,,,,
E_Asia,NomGDPvalch,NATPES,51.34375,,,,,
EGY,NomGDPvalch,NATPES,752.0625,,,,,
ETH,NomGDPvalch,NATPES,-451.953125,,,,,
EU27,NomGDPvalch,NATPES,616,,,,,
IDN,NomGDPvalch,NATPES,1126.875,,,,,
INDIA,NomGDPvalch,NATPES,-1394.25,,,,,
JAPAN,NomGDPvalch,NATPES,-389.5,,,,,
KOR,NomGDPvalch,NATPES,-708.375,,,,,
MAR,NomGDPvalch,NATPES,-328.703125,,,,,
MDG,NomGDPvalch,NATPES,-9.95703125,,,,,
MEAS_NAfr,NomGDPvalch,NATPES,3031,,,,,
MEX,NomGDPvalch,NATPES,-430.375,,,,,
MYS,NomGDPvalch,NATPES,-281.15625,,,,,
NGA,NomGDPvalch,NATPES,1627.375,,,,,
Oceania,NomGDPvalch,NATPES,665.25,,,,,
Oth_CEE_CIS,NomGDPvalch,NATPES,-227.75,,,,,
Oth_Europe,NomGDPvalch,NATPES,582.25,,,,,
PAK,NomGDPvalch,NATPES,-326.578125,,,,,
PHL,NomGDPvalch,NATPES,-76.75,,,,,
POL,NomGDPvalch,NATPES,512.5,,,,,
R_S_Asia,NomGDPvalch,NATPES,-116.40625,,,,,
R_SE_Asia,NomGDPvalch,NATPES,-301.5,,,,,
Russia,NomGDPvalch,NATPES,2827.5,,,,,
S_o_Amer,NomGDPvalch,NATPES,178.75,,,,,
S_S_AFR,NomGDPvalch,NATPES,-1117.125,,,,,
TUR,NomGDPvalch,NATPES,-274.125,,,,,
USA,NomGDPvalch,NATPES,-626,,,,,
VNM,NomGDPvalch,NATPES,60.4375,,,,,
XAC,NomGDPvalch,NATPES,78.53125,,,,,
ZAF,NomGDPvalch,NATPES,-226.84375,,,,,
World,NomGDPvalch,NATPES,6607.777344,,,,,
ARG,GDPpct,SRLand,0.032156207,,,,,
BGD,GDPpct,SRLand,-0.062781967,,,,,
BRAZIL,GDPpct,SRLand,0.01404307,,,,,
C_C_Amer,GDPpct,SRLand,0.046769239,,,,,
CAN,GDPpct,SRLand,-6.11E-03,,,,,
CHIHKG,GDPpct,SRLand,0.030011894,,,,,
COL,GDPpct,SRLand,0.012717835,,,,,
E_Asia,GDPpct,SRLand,7.61E-03,,,,,
EGY,GDPpct,SRLand,0.265069932,,,,,
ETH,GDPpct,SRLand,0.03840863,,,,,
EU27,GDPpct,SRLand,9.70E-03,,,,,
IDN,GDPpct,SRLand,0.065754101,,,,,
INDIA,GDPpct,SRLand,0.082684584,,,,,
JAPAN,GDPpct,SRLand,0.01484189,,,,,
KOR,GDPpct,SRLand,0.015840176,,,,,
MAR,GDPpct,SRLand,0.07196638,,,,,
MDG,GDPpct,SRLand,0.07398016,,,,,
MEAS_NAfr,GDPpct,SRLand,0.073004946,,,,,
MEX,GDPpct,SRLand,0.010370839,,,,,
MYS,GDPpct,SRLand,0.027235564,,,,,
NGA,GDPpct,SRLand,-0.016353138,,,,,
Oceania,GDPpct,SRLand,8.31E-03,,,,,
Oth_CEE_CIS,GDPpct,SRLand,0.054350588,,,,,
Oth_Europe,GDPpct,SRLand,0.058913324,,,,,
PAK,GDPpct,SRLand,-0.011918461,,,,,
PHL,GDPpct,SRLand,0.035998039,,,,,
POL,GDPpct,SRLand,0.078757823,,,,,
R_S_Asia,GDPpct,SRLand,0.222419739,,,,,
R_SE_Asia,GDPpct,SRLand,0.010799112,,,,,
Russia,GDPpct,SRLand,0.01598092,,,,,
S_o_Amer,GDPpct,SRLand,0.032898847,,,,,
S_S_AFR,GDPpct,SRLand,-9.13E-03,,,,,
TUR,GDPpct,SRLand,0.01422001,,,,,
USA,GDPpct,SRLand,0.01263233,,,,,
VNM,GDPpct,SRLand,1.19E-03,,,,,
XAC,GDPpct,SRLand,0.014200268,,,,,
ZAF,GDPpct,SRLand,-3.44E-03,,,,,
World,GDPpct,SRLand,0.023547443,,,,,
ARG,RealGDPvalch,SRLand,215.0929718,,,,,
BGD,RealGDPvalch,SRLand,-188.5839996,,,,,
BRAZIL,RealGDPvalch,SRLand,444.7124329,,,,,
C_C_Amer,RealGDPvalch,SRLand,341.2443848,,,,,
CAN,RealGDPvalch,SRLand,-159.8236084,,,,,
CHIHKG,RealGDPvalch,SRLand,5685.155273,,,,,
COL,RealGDPvalch,SRLand,71.75765991,,,,,
E_Asia,RealGDPvalch,SRLand,12.57915592,,,,,
EGY,RealGDPvalch,SRLand,1440.303223,,,,,
ETH,RealGDPvalch,SRLand,37.71442413,,,,,
EU27,RealGDPvalch,SRLand,1893.314453,,,,,
IDN,RealGDPvalch,SRLand,762.491333,,,,,
INDIA,RealGDPvalch,SRLand,2332.168945,,,,,
JAPAN,RealGDPvalch,SRLand,652.1575928,,,,,
KOR,RealGDPvalch,SRLand,273.7249756,,,,,
MAR,RealGDPvalch,SRLand,106.1374664,,,,,
MDG,RealGDPvalch,SRLand,13.83261967,,,,,
MEAS_NAfr,RealGDPvalch,SRLand,3466.908936,,,,,
MEX,RealGDPvalch,SRLand,169.488678,,,,,
MYS,RealGDPvalch,SRLand,133.0775452,,,,,
NGA,RealGDPvalch,SRLand,-255.5733185,,,,,
Oceania,RealGDPvalch,SRLand,248.2311859,,,,,
Oth_CEE_CIS,RealGDPvalch,SRLand,799.1199341,,,,,
Oth_Europe,RealGDPvalch,SRLand,918.2918701,,,,,
PAK,RealGDPvalch,SRLand,-30.76984596,,,,,
PHL,RealGDPvalch,SRLand,177.9570923,,,,,
POL,RealGDPvalch,SRLand,588.3379517,,,,,
R_S_Asia,RealGDPvalch,SRLand,413.9379273,,,,,
R_SE_Asia,RealGDPvalch,SRLand,104.7549439,,,,,
Russia,RealGDPvalch,SRLand,585.6560669,,,,,
S_o_Amer,RealGDPvalch,SRLand,569.7640381,,,,,
S_S_AFR,RealGDPvalch,SRLand,-104.8532562,,,,,
TUR,RealGDPvalch,SRLand,160.5458679,,,,,
USA,RealGDPvalch,SRLand,2586.147949,,,,,
VNM,RealGDPvalch,SRLand,3.903805971,,,,,
XAC,RealGDPvalch,SRLand,70.34246826,,,,,
ZAF,RealGDPvalch,SRLand,-16.41018105,,,,,
World,RealGDPvalch,SRLand,24522.83984,,,,,
ARG,NomGDPvalch,SRLand,1483.5,,,,,
BGD,NomGDPvalch,SRLand,290.53125,,,,,
BRAZIL,NomGDPvalch,SRLand,1844.5,,,,,
C_C_Amer,NomGDPvalch,SRLand,1832.3125,,,,,
CAN,NomGDPvalch,SRLand,2145.5,,,,,
CHIHKG,NomGDPvalch,SRLand,25088,,,,,
COL,NomGDPvalch,SRLand,1203.0625,,,,,
E_Asia,NomGDPvalch,SRLand,245.125,,,,,
EGY,NomGDPvalch,SRLand,1369.5625,,,,,
ETH,NomGDPvalch,SRLand,-160.8671875,,,,,
EU27,NomGDPvalch,SRLand,22254,,,,,
IDN,NomGDPvalch,SRLand,2591.125,,,,,
INDIA,NomGDPvalch,SRLand,2753.25,,,,,
JAPAN,NomGDPvalch,SRLand,3436.5,,,,,
KOR,NomGDPvalch,SRLand,1357.875,,,,,
MAR,NomGDPvalch,SRLand,-106.640625,,,,,
MDG,NomGDPvalch,SRLand,14.47265625,,,,,
MEAS_NAfr,NomGDPvalch,SRLand,6902.5,,,,,
MEX,NomGDPvalch,SRLand,1881.25,,,,,
MYS,NomGDPvalch,SRLand,639.1875,,,,,
NGA,NomGDPvalch,SRLand,3004.625,,,,,
Oceania,NomGDPvalch,SRLand,4804.5,,,,,
Oth_CEE_CIS,NomGDPvalch,SRLand,579.375,,,,,
Oth_Europe,NomGDPvalch,SRLand,2091.25,,,,,
PAK,NomGDPvalch,SRLand,126.875,,,,,
PHL,NomGDPvalch,SRLand,628.40625,,,,,
POL,NomGDPvalch,SRLand,1467.4375,,,,,
R_S_Asia,NomGDPvalch,SRLand,440.359375,,,,,
R_SE_Asia,NomGDPvalch,SRLand,792.5625,,,,,
Russia,NomGDPvalch,SRLand,7545,,,,,
S_o_Amer,NomGDPvalch,SRLand,2606.875,,,,,
S_S_AFR,NomGDPvalch,SRLand,2000.625,,,,,
TUR,NomGDPvalch,SRLand,93.375,,,,,
USA,NomGDPvalch,SRLand,23774,,,,,
VNM,NomGDPvalch,SRLand,403.53125,,,,,
XAC,NomGDPvalch,SRLand,692.78125,,,,,
ZAF,NomGDPvalch,SRLand,420.25,,,,,
World,NomGDPvalch,SRLand,128536.5781,,,,,
ARG,GDPpct,SRnD20,0.029424826,,,,,
BGD,GDPpct,SRnD20,0.140002534,,,,,
BRAZIL,GDPpct,SRnD20,0.023581453,,,,,
C_C_Amer,GDPpct,SRnD20,0.306563556,,,,,
CAN,GDPpct,SRnD20,2.41E-03,,,,,
CHIHKG,GDPpct,SRnD20,0.134940147,,,,,
COL,GDPpct,SRnD20,0.023849526,,,,,
E_Asia,GDPpct,SRnD20,0.121706642,,,,,
EGY,GDPpct,SRnD20,0.427984536,,,,,
ETH,GDPpct,SRnD20,0.790617049,,,,,
EU27,GDPpct,SRnD20,0.019120213,,,,,
IDN,GDPpct,SRnD20,0.433049291,,,,,
INDIA,GDPpct,SRnD20,0.086397819,,,,,
JAPAN,GDPpct,SRnD20,0.018558757,,,,,
KOR,GDPpct,SRnD20,0.021239802,,,,,
MAR,GDPpct,SRnD20,0.191921711,,,,,
MDG,GDPpct,SRnD20,0.112604156,,,,,
MEAS_NAfr,GDPpct,SRnD20,0.135105595,,,,,
MEX,GDPpct,SRnD20,0.1147044,,,,,
MYS,GDPpct,SRnD20,0.13029851,,,,,
NGA,GDPpct,SRnD20,0.683774889,,,,,
Oceania,GDPpct,SRnD20,0.036748178,,,,,
Oth_CEE_CIS,GDPpct,SRnD20,0.200840399,,,,,
Oth_Europe,GDPpct,SRnD20,0.081332125,,,,,
PAK,GDPpct,SRnD20,0.21485436,,,,,
PHL,GDPpct,SRnD20,0.280074805,,,,,
POL,GDPpct,SRnD20,0.141294286,,,,,
R_S_Asia,GDPpct,SRnD20,0.340132385,,,,,
R_SE_Asia,GDPpct,SRnD20,0.224085584,,,,,
Russia,GDPpct,SRnD20,0.062155906,,,,,
S_o_Amer,GDPpct,SRnD20,0.059650358,,,,,
S_S_AFR,GDPpct,SRnD20,0.305147082,,,,,
TUR,GDPpct,SRnD20,0.094853871,,,,,
USA,GDPpct,SRnD20,9.22E-03,,,,,
VNM,GDPpct,SRnD20,0.328847229,,,,,
XAC,GDPpct,SRnD20,0.099184655,,,,,
ZAF,GDPpct,SRnD20,-7.61E-03,,,,,
World,GDPpct,SRnD20,0.083910629,,,,,
ARG,RealGDPvalch,SRnD20,196.8227692,,,,,
BGD,RealGDPvalch,SRnD20,420.5385437,,,,,
BRAZIL,RealGDPvalch,SRnD20,746.7715454,,,,,
C_C_Amer,RealGDPvalch,SRnD20,2236.792725,,,,,
CAN,RealGDPvalch,SRnD20,62.93000794,,,,,
CHIHKG,RealGDPvalch,SRnD20,25561.72266,,,,,
COL,RealGDPvalch,SRnD20,134.5658569,,,,,
E_Asia,RealGDPvalch,SRnD20,201.1456451,,,,,
EGY,RealGDPvalch,SRnD20,2325.527832,,,,,
ETH,RealGDPvalch,SRnD20,776.3272705,,,,,
EU27,RealGDPvalch,SRnD20,3733.107422,,,,,
IDN,RealGDPvalch,SRnD20,5021.68457,,,,,
INDIA,RealGDPvalch,SRnD20,2436.902832,,,,,
JAPAN,RealGDPvalch,SRnD20,815.4780273,,,,,
KOR,RealGDPvalch,SRnD20,367.0328064,,,,,
MAR,RealGDPvalch,SRnD20,283.0499878,,,,,
MDG,RealGDPvalch,SRnD20,21.05443382,,,,,
MEAS_NAfr,RealGDPvalch,SRnD20,6415.986816,,,,,
MEX,RealGDPvalch,SRnD20,1874.592529,,,,,
MYS,RealGDPvalch,SRnD20,636.6604614,,,,,
NGA,RealGDPvalch,SRnD20,10686.30469,,,,,
Oceania,RealGDPvalch,SRnD20,1097.318237,,,,,
Oth_CEE_CIS,RealGDPvalch,SRnD20,2952.968262,,,,,
Oth_Europe,RealGDPvalch,SRnD20,1267.737427,,,,,
PAK,RealGDPvalch,SRnD20,554.6886597,,,,,
PHL,RealGDPvalch,SRnD20,1384.555908,,,,,
POL,RealGDPvalch,SRnD20,1055.498779,,,,,
R_S_Asia,RealGDPvalch,SRnD20,633.0090332,,,,,
R_SE_Asia,RealGDPvalch,SRnD20,2173.704102,,,,,
Russia,RealGDPvalch,SRnD20,2277.840332,,,,,
S_o_Amer,RealGDPvalch,SRnD20,1033.064331,,,,,
S_S_AFR,RealGDPvalch,SRnD20,3504.369141,,,,,
TUR,RealGDPvalch,SRnD20,1070.913208,,,,,
USA,RealGDPvalch,SRnD20,1888.08606,,,,,
VNM,RealGDPvalch,SRnD20,1082.636231,,,,,
XAC,RealGDPvalch,SRnD20,491.3212585,,,,,
ZAF,RealGDPvalch,SRnD20,-36.27950668,,,,,
World,RealGDPvalch,SRnD20,87386.42969,,,,,
ARG,NomGDPvalch,SRnD20,-1007.1875,,,,,
BGD,NomGDPvalch,SRnD20,550.8125,,,,,
BRAZIL,NomGDPvalch,SRnD20,-3452.75,,,,,
C_C_Amer,NomGDPvalch,SRnD20,2263.625,,,,,
CAN,NomGDPvalch,SRnD20,3338.5,,,,,
CHIHKG,NomGDPvalch,SRnD20,43460,,,,,
COL,NomGDPvalch,SRnD20,1604.9375,,,,,
E_Asia,NomGDPvalch,SRnD20,213.640625,,,,,
EGY,NomGDPvalch,SRnD20,1525.125,,,,,
ETH,NomGDPvalch,SRnD20,-1345.171875,,,,,
EU27,NomGDPvalch,SRnD20,24326,,,,,
IDN,NomGDPvalch,SRnD20,5748.125,,,,,
INDIA,NomGDPvalch,SRnD20,-4647,,,,,
JAPAN,NomGDPvalch,SRnD20,3858,,,,,
KOR,NomGDPvalch,SRnD20,881.5,,,,,
MAR,NomGDPvalch,SRnD20,151.546875,,,,,
MDG,NomGDPvalch,SRnD20,-6.3203125,,,,,
MEAS_NAfr,NomGDPvalch,SRnD20,18132.5,,,,,
MEX,NomGDPvalch,SRnD20,3172.625,,,,,
